# Receiver Set: route rx                                                         
# Transmitter Set: tx                                                               
# Format: Path Number  Phase (Deg.)  Time (s)  Power (dBm)
     39
     1    191
   64    39.977   0.16937611E-06   -66.959
   65   169.798   0.53859004E-07   -66.968
   66  -132.964   0.16944073E-07   -67.602
   67    69.089   0.95793823E-07   -67.796
   68   -66.711   0.95196405E-07   -67.849
   69  -138.675   0.33574516E-07   -67.988
   70   -51.523   0.95184397E-07   -68.178
   71     7.178   0.53983435E-07   -68.245
   72    90.224   0.95776912E-07   -68.257
   73   174.142   0.20983377E-07   -68.327
   74     1.500   0.53987723E-07   -68.354
   75  -154.403   0.31967168E-07   -68.550
   76  -130.540   0.31948911E-07   -68.618
   77  -135.745   0.25823678E-06   -68.747
   78   -19.614   0.32570984E-07   -68.844
   79  -123.080   0.31942566E-07   -68.869
   80    -6.103   0.16998067E-06   -68.975
   81  -102.706   0.25835294E-06   -69.037
   82   -98.959   0.25835217E-06   -69.353
   83   -86.524   0.17241899E-07   -69.385
   84  -137.560   0.26495374E-06   -69.390
   85   -35.439   0.31590602E-07   -69.422
   86    80.033   0.95795038E-07   -69.516
   87    76.643   0.36037132E-07   -69.798
   88   -83.824   0.33339550E-07   -69.833
   89    69.762   0.31364760E-07   -69.837
   90   119.291   0.16602678E-07   -69.867
   91   127.051   0.21016913E-07   -70.026
   92   139.370   0.21598202E-07   -70.055
   93   139.375   0.21598199E-07   -70.059
   94  -128.544   0.21950658E-07   -70.076
   95    27.989   0.56249366E-07   -70.140
   96   -29.380   0.34011144E-07   -70.205
   97   164.559   0.25842726E-06   -70.310
   98  -156.544   0.31544701E-07   -70.448
   99    -8.107   0.33421408E-07   -70.483
  100   166.654   0.25842564E-06   -70.498
  101   -61.843   0.55035258E-07   -70.508
  102   119.166   0.31751739E-07   -70.568
  103   -11.294   0.25884898E-06   -70.666
  104  -160.228   0.25854169E-06   -70.788
  105   -31.537   0.54026504E-07   -70.823
  106   165.265   0.26514078E-06   -70.855
  107    97.702   0.16619671E-07   -70.866
  108  -158.494   0.25854251E-06   -70.915
  109   -32.716   0.34010043E-07   -70.922
  110   169.953   0.26513851E-06   -70.951
  111   114.068   0.31755324E-07   -70.962
  112    91.749   0.31773872E-07   -71.002
  113   -92.910   0.22364338E-07   -71.015
  114  -118.529   0.22384670E-07   -71.023
  115   -74.240   0.55045128E-07   -71.066
  116  -156.490   0.25854095E-06   -71.104
  117   170.319   0.26513823E-06   -71.139
  118   129.399   0.25873933E-06   -71.202
  119   125.064   0.56168780E-07   -71.234
  120   123.672   0.25874405E-06   -71.313
  121    10.395   0.25883682E-06   -71.359
  122   132.698   0.25873675E-06   -71.389
  123    83.796   0.31779543E-07   -71.530
  124  -129.743   0.31950055E-07   -71.563
  125  -137.017   0.69553870E-07   -71.751
  126   159.226   0.56141022E-07   -71.879
  127   -22.122   0.55019395E-07   -72.300
  128  -105.630   0.20963657E-07   -72.303
  129   -20.114   0.55017775E-07   -72.583
  130  -113.218   0.32927883E-07   -72.736
  131    15.267   0.54989766E-07   -72.809
  132    18.760   0.33109060E-07   -72.889
  133   -25.631   0.33145099E-07   -72.988
  134   142.670   0.34295518E-07   -73.238
  135   -45.920   0.22169091E-07   -73.314
  136   177.360   0.32984577E-07   -73.386
  137   -64.341   0.22183455E-07   -73.401
  138   -64.333   0.22183450E-07   -73.407
  139   -19.886   0.22160966E-07   -75.421
  140   109.764   0.17334267E-07   -75.699
  141  -175.824   0.23842627E-07   -77.365
  142   114.831   0.23733312E-07   -77.380
  143  -162.301   0.23828454E-07   -78.266
  144   173.521   0.23297586E-07   -78.418
  145  -139.184   0.23809205E-07   -78.547
  146  -156.226   0.23821963E-07   -78.899
  147   -99.242   0.23799812E-07   -78.923
  148   116.196   0.27751653E-07   -79.251
  149   158.493   0.23855403E-07   -79.257
  150    60.102   0.23774014E-07   -79.270
  151   104.655   0.23765340E-07   -79.730
  152  -120.219   0.20516962E-07   -79.971
  153   173.893   0.23867058E-07   -80.282
  154  -112.538   0.23808182E-07   -80.537
  155   138.446   0.27710703E-07   -80.812
  156   136.087   0.23875751E-07   -80.934
